date,location,new_cases,new_deaths
2020-02-25,Albania,,
2020-02-26,Albania,,
2020-02-27,Albania,,
2020-02-28,Albania,,
2020-02-29,Albania,,
2020-03-01,Albania,,
2020-03-02,Albania,,
2020-03-03,Albania,,
2020-03-04,Albania,,
2020-03-05,Albania,,
2020-03-06,Albania,,
2020-03-07,Albania,,
2020-03-08,Albania,,
2020-03-09,Albania,2.0,
2020-03-10,Albania,8.0,
2020-03-11,Albania,2.0,1.0
2020-03-12,Albania,11.0,0.0
2020-03-13,Albania,10.0,0.0
2020-03-14,Albania,5.0,0.0
2020-03-15,Albania,4.0,0.0
2020-03-16,Albania,9.0,0.0
2020-03-17,Albania,4.0,0.0
2020-03-18,Albania,4.0,1.0
2020-03-19,Albania,5.0,0.0
2020-03-20,Albania,6.0,0.0
2020-03-21,Albania,6.0,0.0
2020-03-22,Albania,13.0,0.0
2020-03-23,Albania,15.0,2.0
2020-03-24,Albania,19.0,1.0
2020-03-25,Albania,23.0,0.0
2020-03-26,Albania,28.0,1.0
2020-03-27,Albania,12.0,2.0
2020-03-28,Albania,11.0,2.0
2020-03-29,Albania,15.0,0.0
2020-03-30,Albania,11.0,1.0
2020-03-31,Albania,20.0,4.0
2020-04-01,Albania,16.0,0.0
2020-04-02,Albania,18.0,1.0
2020-04-03,Albania,27.0,1.0
2020-04-04,Albania,29.0,3.0
2020-04-05,Albania,28.0,0.0
2020-04-06,Albania,16.0,1.0
2020-04-07,Albania,6.0,1.0
2020-04-08,Albania,17.0,0.0
2020-04-09,Albania,9.0,1.0
2020-04-10,Albania,7.0,0.0
2020-04-11,Albania,17.0,0.0
2020-04-12,Albania,13.0,0.0
2020-04-13,Albania,21.0,0.0
2020-04-14,Albania,8.0,1.0
2020-04-15,Albania,19.0,1.0
2020-04-16,Albania,24.0,1.0
2020-04-17,Albania,21.0,0.0
2020-04-18,Albania,9.0,0.0
2020-04-19,Albania,14.0,0.0
2020-04-20,Albania,22.0,0.0
2020-04-21,Albania,25.0,0.0
2020-04-22,Albania,25.0,1.0
2020-04-23,Albania,29.0,0.0
2020-04-24,Albania,15.0,0.0
2020-04-25,Albania,34.0,0.0
2020-04-26,Albania,14.0,1.0
2020-04-27,Albania,10.0,0.0
2020-04-28,Albania,14.0,2.0
2020-04-29,Albania,16.0,0.0
2020-04-30,Albania,7.0,1.0
2020-05-01,Albania,9.0,0.0
2020-05-02,Albania,7.0,0.0
2020-05-03,Albania,6.0,0.0
2020-05-04,Albania,8.0,0.0
2020-05-05,Albania,17.0,0.0
2020-05-06,Albania,12.0,0.0
2020-05-07,Albania,10.0,0.0
2020-05-08,Albania,8.0,0.0
2020-05-09,Albania,6.0,0.0
2020-05-10,Albania,12.0,0.0
2020-05-11,Albania,4.0,0.0
2020-05-12,Albania,4.0,0.0
2020-05-13,Albania,4.0,0.0
2020-05-14,Albania,18.0,0.0
